City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,comodoro rivadavia,-45.8667,-67.5,10.92,43,20,2.06,AR,1680212271
1,avarua,-21.2078,-159.775,28.03,89,75,5.66,CK,1680212176
2,noumea,-22.2763,166.4572,26.67,99,25,0.85,NC,1680211821
3,san cristobal,7.7669,-72.225,25.1,59,51,1.66,VE,1680212272
4,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1680212183
5,hamilton,39.1834,-84.5333,17.35,36,0,4.12,US,1680212057
6,new norfolk,-42.7826,147.0587,13.29,80,99,0.45,AU,1680212273
7,ustupo,9.1333,-77.9333,26.5,79,68,6.44,PA,1680212273
8,mataura,-46.1927,168.8643,11.63,75,33,1.75,NZ,1680212143
9,sibolga,1.7427,98.7792,23.43,84,100,1.36,ID,1680212274
10,rikitea,-23.1203,-134.9692,26.25,71,84,1.98,PF,1680212275
11,opotiki,-38.0833,177.2833,14.66,59,15,1.57,NZ,1680212275
12,bosaso,11.2842,49.1816,27.77,77,4,0.4,SO,1680212276
13,atuona,-9.8,-139.0333,27.08,73,4,6.61,PF,1680212149
14,saint george,37.1041,-113.5841,7.92,63,100,10.29,US,1680212079
15,ribeira grande,38.5167,-28.7,15.43,88,100,0.89,PT,1680212156
16,gravelbourg,49.8834,-106.5512,-0.85,84,56,3.52,CA,1680212278
17,provideniya,64.3833,-173.3,-4.94,54,75,6.0,RU,1680212278
18,chokurdakh,70.6333,147.9167,-20.24,95,100,2.54,RU,1680212184
19,aklavik,68.2191,-135.0107,-11.0,57,20,4.63,CA,1680212216
20,margate,51.3813,1.3862,11.06,86,100,2.24,GB,1680212279
21,ponta do sol,32.6667,-17.1,23.4,27,11,1.96,PT,1680212279
22,flinders,-34.5833,150.8552,15.21,69,0,2.39,AU,1680212279
23,punta arenas,-53.15,-70.9167,9.06,49,0,9.77,CL,1680212074
24,arraial do cabo,-22.9661,-42.0278,26.92,78,0,2.57,BR,1680212280
25,beringovskiy,63.05,179.3167,-10.68,83,34,2.4,RU,1680212281
26,bredasdorp,-34.5322,20.0403,14.79,84,74,0.4,ZA,1680212282
27,qaqortoq,60.7167,-46.0333,-7.4,80,1,0.65,GL,1680212282
28,bathsheba,13.2167,-59.5167,27.34,65,40,9.26,BB,1680212283
29,pimenta bueno,-11.6725,-61.1936,25.35,89,87,0.95,BR,1680212283
30,ayan,56.45,138.1667,-6.5,89,96,2.2,RU,1680212284
31,swellendam,-34.0226,20.4417,15.3,86,96,1.7,ZA,1680212284
32,mar del plata,-38.0023,-57.5575,17.01,73,0,8.23,AR,1680212285
33,busselton,-33.65,115.3333,17.35,76,100,5.73,AU,1680212286
34,chilca,-12.5211,-76.7372,24.53,80,58,3.39,PE,1680212286
35,hilo,19.7297,-155.09,25.69,86,100,5.14,US,1680212287
36,loknya,56.83,30.1467,-1.27,94,93,2.7,RU,1680212287
37,ushuaia,-54.8,-68.3,6.81,53,20,4.12,AR,1680212288
38,okhotsk,59.3833,143.3,-4.05,93,100,3.31,RU,1680212288
39,morehead,37.2711,-87.1764,20.86,21,0,4.12,US,1680212153
40,burnie,-41.0667,145.9167,12.75,88,74,4.69,AU,1680212289
41,kysyl-syr,63.8986,122.7617,-16.08,93,62,4.08,RU,1680212289
42,husavik,66.0449,-17.3389,1.08,87,93,3.99,IS,1680212289
43,naze,28.3667,129.4833,17.51,88,98,5.55,JP,1680212290
44,lata,40.1629,-8.3327,12.0,92,100,1.84,PT,1680212290
45,katsuura,35.1333,140.3,15.24,79,100,3.11,JP,1680212209
46,kangaatsiaq,68.3065,-53.4641,-23.07,95,6,2.66,GL,1680212291
47,zyryanka,65.75,150.85,-9.49,87,100,5.33,RU,1680212291
48,saskylakh,71.9167,114.0833,-33.11,100,89,2.68,RU,1680212293
49,norman wells,65.282,-126.8329,-8.98,62,40,7.72,CA,1680212293
50,mount isa,-20.7333,139.5,22.87,33,12,4.12,AU,1680212294
51,kapaa,22.0752,-159.319,26.93,79,100,6.17,US,1680212294
52,bambanglipuro,-7.95,110.2833,24.19,88,100,1.48,ID,1680212294
53,meulaboh,4.1363,96.1285,23.99,88,85,1.87,ID,1680212295
54,chuy,-33.6971,-53.4616,19.5,93,100,4.5,UY,1680212147
55,port alfred,-33.5906,26.891,14.54,86,42,1.34,ZA,1680212151
56,pevek,69.7008,170.3133,-13.81,85,100,4.86,RU,1680212296
57,talnakh,69.4865,88.3972,-28.22,98,68,2.68,RU,1680212296
58,jalu,29.0331,21.5482,16.03,30,0,3.54,LY,1680212296
59,rancho palos verdes,33.7445,-118.387,16.2,68,75,3.09,US,1680212172
60,vaini,-21.2,-175.2,28.09,74,75,3.6,TO,1680212297
61,loukhi,66.0764,33.0381,-11.23,94,17,3.48,RU,1680212297
62,pishin,30.5803,66.9961,12.88,68,80,0.55,PK,1680212298
63,puerto ayora,-0.7393,-90.3518,30.98,87,67,2.24,EC,1680212145
